IR24	A50	MeanDecreaseAccuracy	MeanDecreaseGini	Class
Neisseriaceae	0.53	1.73	2	0.04	Betaproteobacteria
Flavobacteriaceae	1.58	1.45	2.1	0.1	Flavobacteriia
Rhizobiales_incertae_sedis	1.88	2	2.17	0.14	Alphaproteobacteria
Nannocystaceae	2.18	1.71	2.21	0.16	Deltaproteobacteria
Thermoactinomycetaceae_1	1.52	2	2.32	0.23	Bacilli
Campylobacteraceae	1.59	2.72	2.46	0.15	Epsilonproteobacteria
Desulfobacteraceae	2.85	1.82	2.49	0.16	Deltaproteobacteria
Ruminococcaceae	2.42	2.26	2.52	0.17	Clostridia
Solirubrobacteraceae	0.92	2.79	2.55	0.14	Actinobacteria
Herpetosiphonaceae	2.31	2	2.58	0.09	Chloroflexia
Micromonosporaceae	3.17	0.92	2.71	0.41	Actinobacteria
Bacillaceae_1	1.54	3.2	2.77	0.29	Bacilli
Clostridiales_Incertae_Sedis_XII	2.55	2.76	2.85	0.28	Clostridia
Parachlamydiaceae	2.95	2.36	3.08	0.34	Chlamydiia
Ignavibacteriaceae	3.47	2.35	3.26	0.37	Ignavibacteria
Opitutaceae	2.54	3.28	3.35	0.53	Opitutae
Comamonadaceae	3.44	3.46	3.78	0.4	Betaproteobacteria
Burkholderiales_incertae_sedis	4.11	3.26	4.14	0.6	Betaproteobacteria
Bacillales_Incertae_Sedis_XII	3.75	4.21	4.37	0.42	Bacilli
Aeromonadaceae	3.91	4.01	4.65	0.77	Gammaproteobacteria
Chromatiaceae	4.25	4.69	4.74	0.77	Gammaproteobacteria
Pseudomonadaceae	5.07	5.67	5.97	0.8	Gammaproteobacteria
Paenibacillaceae_1	5.31	5.09	6.13	0.91	Bacilli
