IR24HnCp7r1	IR24HnCp7r2	IR24HnCp7r3	IR24HnCp7r4	IR24HnCp7r5	IR24HnCp7r6	IR24HnCp7r7	IR24HnCp7r8	IR24HnCp7r9	IR24HnCp7r10	IR24HnCp7r11	IR24HnCp7r12	IR24HnCp7r13	IR24HnCp7r14	IR24HnCp7r15	IR24HnSz7r1	IR24HnSz7r2	IR24HnSz7r3	IR24HnSz7r4	IR24HnSz7r5	IR24HnSz7r6	IR24HnSz7r7	IR24HnSz7r8	IR24HnSz7r9	IR24HnSz7r10	IR24HnSz7r11	IR24HnSz7r12	IR24HnSz7r13	IR24HnSz7r14	IR24HnSz7r15	IR24HnSz7r16	IR24HnSz7r17
Acetobacteraceae	0	0.0103	0.00426	0.00846	0.019	0	0.00305	0.0109	0.0187	0.00169	0.0108	0.024	0.00723	0.00291	0.00776	0.00477	0.00942	0	0.004	0	0.00368	0	0.0246	0.00728	0.0139	0.0364	0.00582	0.00201	0.0287	0.0092	0.00381	0
Microbacteriaceae	0.168	0.135	0.168	0.144	0.149	0.173	0.125	0.207	0.18	0.24	0.228	0.18	0.394	0.247	0.306	0.262	0.269	0.121	0.206	0.213	0.267	0.239	0.25	0.173	0.222	0.59	0.386	0.201	0.341	0.162	0.118	0.22
Parachlamydiaceae	0.00193	0.00343	0.00852	0.00423	0.00271	0	0.00305	0.00312	0.00509	0.00507	0.00769	0.00399	0	0.00291	0.0233	0.00953	0.00236	0.0148	0.004	0.00288	0.0129	0.0173	0.00614	0.00364	0.0209	0.00728	0.0136	0.0141	0.0144	0.00307	0.0172	0.00306
Porphyromonadaceae	0.933	0.276	0.26	0.463	0.0948	0.181	0.224	0.196	0.163	0.174	0.252	0.262	0.349	0.303	0.149	0.174	0.292	0.259	0.218	0.0805	0.348	0.173	0.213	0.191	0.269	0.319	0.128	0.147	0.366	0.159	0.179	0.254
Bdellovibrionaceae	0.0173	0.0274	0.0128	0.0233	0.0298	0.0194	0.0168	0.0125	0.0526	0.00676	0.00461	0.032	0.0199	0.0291	0.031	0.0143	0.0188	0.00741	0.034	0.0115	0.0129	0.0148	0.0102	0.0127	0.0232	0.0182	0.0194	0.0262	0.018	0.00307	0.00763	0.0153
Sinobacteraceae	0.227	0.557	0.458	1.21	0.656	0.51	0.796	0.223	0.483	0.52	0.829	0.567	0.591	0.675	0.44	0.579	0.916	0.427	0.649	0.334	0.552	0.696	1.15	0.302	0.853	0.597	0.508	0.534	0.736	0.555	0.871	0.628
Bacteriovoracaceae	0.00964	0.0172	0.0149	0.0466	0.019	0	0.00305	0.00156	0.0237	0.0135	0.0138	0.026	0.0235	0.0262	0.0252	0.0119	0.00707	0.0247	0.034	0.0316	0.0221	0.0222	0.0307	0.0146	0.051	0.0164	0.0485	0.0322	0.018	0.0276	0.0153	0.0367
Pseudomonadaceae	0.613	3.44	3.52	1.27	3.34	0.863	1.17	2.8	1.57	2.19	1.32	2.29	1.71	2.07	1.82	0.944	1.17	0.761	0.955	0.814	1.48	0.832	1.27	1.12	0.392	0.838	1.49	0.697	1.86	0.708	0.698	0.928
Neisseriaceae	0.0424	1.56	1.37	0.455	1.86	1.6	1.1	1.18	2.37	1.34	1.54	0.623	0.831	1.34	0.717	0.705	1.65	1.8	1.39	2.38	0.751	1.33	1.81	1.71	0.338	1.4	1.54	1.53	1.76	3.43	0.408	0.533
Planococcaceae	0.0463	0.0223	0.0298	0.0212	0.0163	0.00972	0.0229	0.0249	0.0288	0.0406	0.0307	0.02	0.0452	0.0349	0.033	0.0882	0.0919	0.0618	0.0981	0.0604	0.0791	0.0913	0.15	0.12	0.222	0.0801	0.142	0.117	0.119	0.141	0.0496	0.049
